EntrySeqNo CPFile File isSelected
26 wing1000 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\M\small\dscra4m_20026.tif 0
43 wing1017 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\M\small\dscra4m_20043.tif 0
44 wing1018 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\M\small\dscra4m_20044.tif 0
36 wing1010 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\M\small\dscra4m_20036.tif 0
39 wing1013 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\M\small\dscra4m_20039.tif 0
22 wing1021 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\F\small\dscra5f_30022.tif 1
6 wing1005 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\F\small\dscra5f_30006.tif 1
3 wing1002 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\F\small\dscra5f_30003.tif 1
16 wing1015 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\F\small\dscra5f_30016.tif 1
11 wing1010 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\F\small\dscra5f_30011.tif 1
7 wing1006 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\F\small\dscra5f_30007.tif 1
17 wing1016 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\F\small\dscra5f_30017.tif 1
14 wing1013 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\F\small\dscra5f_30014.tif 1
8 wing1007 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\F\small\dscra5f_30008.tif 1
5 wing1004 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\F\small\dscra5f_30005.tif 1
21 wing1020 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\F\small\dscra5f_30021.tif 1
25 wing1024 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\F\small\dscra5f_30025.tif 1
19 wing1018 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\F\small\dscra5f_30019.tif 1
15 wing1014 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\F\small\dscra5f_30015.tif 1
1 wing1000 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\F\small\dscra5f_30001.tif 1
23 wing1022 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\F\small\dscra5f_30023.tif 1
2 wing1001 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\F\small\dscra5f_30002.tif 0
4 wing1003 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\F\small\dscra5f_30004.tif 0
18 wing1017 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\F\small\dscra5f_30018.tif 0
24 wing1023 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\F\small\dscra5f_30024.tif 0
13 wing1012 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\F\small\dscra5f_30013.tif 0
9 wing1008 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\F\small\dscra5f_30009.tif 0
20 wing1019 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\F\small\dscra5f_30020.tif 0
10 wing1009 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\F\small\dscra5f_30010.tif 0
12 wing1011 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\F\small\dscra5f_30012.tif 0
32 wing1006 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\M\small\dscra5m_30032.tif 1
40 wing1014 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\M\small\dscra5m_30040.tif 1
34 wing1008 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\M\small\dscra5m_30034.tif 1
35 wing1009 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\M\small\dscra5m_30035.tif 1
30 wing1004 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\M\small\dscra5m_30030.tif 1
45 wing1019 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\M\small\dscra5m_30045.tif 1
